"","Chrom","JN626286.1","LN864819.1","NZ_KX523901.1"
"449","Acidobacterium_capsulatum_ATCC_51196_","73","95","39"
"450","Verrucomicrobium_spinosum_DSM_4136_=_JCM_18804_","0","0","0"
"451","Anabaena_variabilis_ATCC_29413_","27","27","0"
"452","Halobacillus_dabanensis_","132","132","82"
"453","Porphyromonas_gingivalis_W83_","39","39","62"
"454","Rhodopirellula_baltica_SH_1_","66","215","36"
"455","Acidithiobacillus_ferrooxidans_ATCC_23270_","62","94","14"
"456","Burkholderia_mallei_ATCC_23344_","28","28","0"
"457","Chlamydia_muridarum_str._Nigg_","59","59","41"
"458","Dehalococcoides_mccartyi_195_","67","67","52"
"459","Deinococcus_radiodurans_R1_","63","63","45"
"460","Geobacter_sulfurreducens_PCA_","98","98","0"
"461","Methylococcus_capsulatus_str._Bath_","0","27","0"
"462","Photorhabdus_luminescens_subsp._laumondii_TTO1_","116","92","46"
"463","Mycoplasma_arthritidis_158L3-1_","60","60","45"
"464","Mycoplasma_genitalium_G37_","66","66","66"
"465","Thermotoga_maritima_MSB8_","49","49","49"
"466","Treponema_denticola_ATCC_35405_","75","75","75"
"467","Treponema_pallidum_subsp._pallidum_str._Nichols_","29","29","0"
"468","Vibrio_cholerae_O1_biovar_El_Tor_str._N16961_","161","161","101"
"469","Chromobacterium_violaceum_ATCC_12472_","182","182","146"
"470","Pseudomonas_lutea_","22","22","0"
"471","Candidatus_Caedibacter_acanthamoebae_","0","0","0"
"472","Candidatus_Paracaedibacter_symbiosus_","0","0","0"
"473","Carboxydothermus_hydrogenoformans_Z-2901_","34","34","0"
"474","Dichelobacter_nodosus_VCS1703A_","0","0","0"
"475","Mycobacterium_smegmatis_str._MC2_155_","181","181","87"
"476","Myxococcus_xanthus_DK_1622_","100","100","79"
"477","Ruminococcus_albus_8_","0","0","0"
"478","Ruegeria_pomeroyi_DSS-3_","122","122","64"
"479","Streptococcus_mitis_NCTC_12261_","0","60","8"
"480","Nocardia_farcinica_IFM_10152_","67","67","67"
"481","planctomycete_KSU-1_","20","20","0"
