"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions","Jaccard"
"291","NZ_KX523901.1","Candidatus_Photodesmus_katoptron_","12","42","41","866","19002",NA
"292","MT441554.1","Candidatus_Photodesmus_katoptron_","18","59","60","866","19002",NA
"293","JN626286.1","Colwellia_psychrerythraea_","37","0","0","4376","54976",NA
"294","LN864819.1","Colwellia_psychrerythraea_","57","0","0","4376","54976",NA
"295","NZ_KX523901.1","Colwellia_psychrerythraea_","12","0","0","4376","54976",NA
"296","MT441554.1","Colwellia_psychrerythraea_","18","0","0","4376","54976",NA
"297","JN626286.1","Cobetia_marina_","37","0","0","2726","27574",NA
"298","LN864819.1","Cobetia_marina_","57","0","0","2726","27574",NA
"299","NZ_KX523901.1","Cobetia_marina_","12","0","0","2726","27574",NA
"300","MT441554.1","Cobetia_marina_","18","17","16","2726","27574",NA
"301","JN626286.1","Herbidospora_cretacea_","37","0","0","7328","117785",NA
"302","LN864819.1","Herbidospora_cretacea_","57","0","0","7328","117785",NA
"303","NZ_KX523901.1","Herbidospora_cretacea_","12","0","0","7328","117785",NA
"304","MT441554.1","Herbidospora_cretacea_","18","0","0","7328","117785",NA
"305","JN626286.1","Streptomyces_griseoluteus_","37","0","0","7366","106035",NA
"306","LN864819.1","Streptomyces_griseoluteus_","57","0","0","7366","106035",NA
"307","NZ_KX523901.1","Streptomyces_griseoluteus_","12","0","0","7366","106035",NA
"308","MT441554.1","Streptomyces_griseoluteus_","18","0","0","7366","106035",NA
"309","JN626286.1","Yersinia_ruckeri_","37","121","135","3325","44834",NA
"310","LN864819.1","Yersinia_ruckeri_","57","103","118","3325","44834",NA
"311","NZ_KX523901.1","Yersinia_ruckeri_","12","62","61","3325","44834",NA
"312","MT441554.1","Yersinia_ruckeri_","18","74","75","3325","44834",NA
"313","JN626286.1","Vibrio_navarrensis_","37","23","22","3816","71462",NA
"314","LN864819.1","Vibrio_navarrensis_","57","23","22","3816","71462",NA
"315","NZ_KX523901.1","Vibrio_navarrensis_","12","0","0","3816","71462",NA
"316","MT441554.1","Vibrio_navarrensis_","18","18","17","3816","71462",NA
"317","JN626286.1","Janthinobacterium_lividum_","37","252","274","5438","122230",NA
"318","LN864819.1","Janthinobacterium_lividum_","57","252","274","5438","122230",NA
"319","NZ_KX523901.1","Janthinobacterium_lividum_","12","115","113","5438","122230",NA
"320","MT441554.1","Janthinobacterium_lividum_","18","115","113","5438","122230",NA
"321","JN626286.1","Bifidobacterium_pseudolongum_subsp._pseudolongum_","37","0","0","1495","22683",NA
"322","LN864819.1","Bifidobacterium_pseudolongum_subsp._pseudolongum_","57","0","0","1495","22683",NA
"323","NZ_KX523901.1","Bifidobacterium_pseudolongum_subsp._pseudolongum_","12","0","0","1495","22683",NA
"324","MT441554.1","Bifidobacterium_pseudolongum_subsp._pseudolongum_","18","11","10","1495","22683",NA
"325","JN626286.1","Clavibacter_michiganensis_subsp._sepedonicus_","37","26","25","3072","29944",NA
"326","LN864819.1","Clavibacter_michiganensis_subsp._sepedonicus_","57","26","25","3072","29944",NA
"327","NZ_KX523901.1","Clavibacter_michiganensis_subsp._sepedonicus_","12","0","0","3072","29944",NA
"328","MT441554.1","Clavibacter_michiganensis_subsp._sepedonicus_","18","0","0","3072","29944",NA
"329","JN626286.1","Campylobacter_sputorum_biovar_sputorum_","37","0","0","1919","32699",NA
"330","LN864819.1","Campylobacter_sputorum_biovar_sputorum_","57","0","0","1919","32699",NA
